emp_id,name,department,city,experience,salary,monthly_sales,join_date
1,Amit,IT,Delhi,2.0,30000.0,120000.0,2022-01-10
2,Rahul,HR,Mumbai,5.0,50000.0,80000.0,2021-03-15
3,Neha,IT,Delhi,3.0,41666.666666666664,150000.0,2022-06-20
4,Pooja,Finance,Bangalore,7.0,70000.0,103076.92307692308,2020-11-05
5,Ankit,HR,Mumbai,1.0,25000.0,40000.0,2023-02-01
6,Riya,Finance,Delhi,4.0,60000.0,90000.0,2021-08-19
7,Amit,IT,Delhi,2.0,30000.0,120000.0,2022-01-10
8,Sunil,Sales,Pune,3.0,45000.0,110000.0,2021-09-25
9,Karan,Sales,Pune,3.0,45000.0,110000.0,2021-09-25
10,Neha,IT,Delhi,3.0,41666.666666666664,150000.0,2022-06-20
11,Meena,HR,Chennai,6.0,52000.0,103076.92307692308,2019-07-30
12,Rohit,Finance,Bangalore,8.0,80000.0,130000.0,2019-07-30
13,Ankit,HR,Mumbai,1.0,25000.0,40000.0,2023-02-01
14,Simran,Sales,Delhi,2.0,38000.0,60000.0,2022-12-11
15,Vikas,IT,Hyderabad,4.0,65000.0,140000.0,2020-05-18
